place,lat,lon,time
toronto,43.65112152,-79.38287153,2
vancouver,49.24426812,-123.1620144,2
cancun,21.16942145,-86.85629586,2
cabo,22.8910118,-109.9313847,2
london,51.55435096,-0.121820534,3
paris,48.85693029,2.348469275,3
zurich,47.3722302,8.522413469,3
rafz,47.63486888,8.905671111,3
germany,47.93206225,8.835254845,2
antwerp,51.2213,4.40541,2
dubai,25.2048,55.2708,3
mumbai,19.076,72.8777,6
pune,18.5204,73.8567,6
johannesberg,-26.18752593,28.03864907,4
gaborone,-24.6287689,25.9275821,4
maun,-19.9942258,23.42759,4
ghanzi,-21.6950744,21.6490077,4
tshabong,-26.0199381,22.4118817,3
sepupa,-18.7419,22.1728,2
